dataset,cluster_id,document_count,sample_document_count,top_terms,topic_label,representative_doc_ids
quora,0,17905,500,job engin career start interview year want compani need graduat,"job, engin, career, start, interview",15 16 51 52 73
quora,1,15928,500,univers colleg school student cours major graduat studi scienc institut,"univers, colleg, school, student, cours",30 89 90 101 102
quora,2,18042,500,weight lose increas fat height gain day rid reduc eat,"weight, lose, increas, fat, height",63 64 91 142 153
quora,3,13470,500,sex women girl men masturb feel sexual male woman period,"sex, women, girl, men, masturb",27 28 81 82 120
quora,4,17025,500,money onlin websit busi market start compani invest earn traffic,"money, onlin, websit, busi, market",2 53 54 57 58
quora,5,15434,500,india place center visit bangalor servic alcohol counti rehab drug,"india, place, center, visit, bangalor",39 40 69 70 284
quora,6,14669,500,girl love guy relationship know date friend ask tell want,"girl, love, guy, relationship, know",35 36 43 75 76
quora,7,35986,500,word number java function math determin exampl power cell valu,"word, number, java, function, math",8 9 21 33 34
quora,8,27794,500,caus car day drive long without die possibl eat chang,"caus, car, day, drive, long",72 80 103 123 124
quora,9,13547,500,engin learn comput technolog mechan develop design softwar program know,"engin, learn, comput, technolog, mechan",22 237 238 249 337
quora,10,26162,500,phone delet account password iphon android without instagram email number,"phone, delet, account, password, iphon",5 19 20 23 24
quora,11,16663,500,contrast similar chines western citi play water major cultur relat,"contrast, similar, chines, western, citi",17 18 175 176 236
quora,12,14197,500,bank note account card money number black credit tax pay,"bank, note, account, card, money",83 84 109 147 148
quora,13,15234,500,employe new compani day know pro job startup posit con,"employe, new, compani, day, know",55 137 168 217 218
quora,14,16503,500,food import home product color exampl brand dress taffi dish,"food, import, home, product, color",41 42 97 98 140
quora,15,11395,500,trump donald presid elect hillari clinton win presidenti vote think,"trump, donald, presid, elect, hillari",31 32 67 71 203
quora,16,18011,500,life feel think happi know person dream live purpos mind,"life, feel, think, happi, know",7 62 87 88 127
quora,17,14263,500,stop friend deal overcom feel emot control life love suicid,"stop, friend, deal, overcom, feel",44 99 100 303 304
quora,18,21525,500,world war countri china think govern import unit usa pakistan,"world, war, countri, china, think",56 167 173 174 211
quora,19,21269,500,answer facebook ask instagram googl friend person post block time,"answer, facebook, ask, instagram, googl",3 6 37 38 92
quora,20,12497,500,movi watch film review seri star war anim think game,"movi, watch, film, review, seri",65 66 93 125 179
quora,21,13738,500,money cost salari pay price earn year dollar month averag,"money, cost, salari, pay, price",47 85 86 149 150
quora,22,14955,500,prepar exam studi improv mark score english learn start need,"prepar, exam, studi, improv, mark",29 59 60 77 110
quora,23,16911,500,learn languag buy laptop app game program phone mobil comput,"learn, languag, buy, laptop, app",13 14 177 178 270
quora,24,22864,500,india indian note govern pakistan ban modi think rupe economi,"india, indian, note, govern, pakistan",1 4 161 162 183
quora,25,16090,500,life song heard exampl joke favorit experi ask word sentenc,"life, song, heard, exampl, joke",12 45 61 107 108
quora,26,10185,500,dog anim cat eat mix human puppi train bite kill,"dog, anim, cat, eat, mix",141 300 360 473 474
quora,27,18979,500,exist god believ univers human earth life energi creat possibl,"exist, god, believ, univers, human",11 189 190 247 254
quora,28,16413,500,time long averag live year world day one desert temperatur,"time, long, averag, live, year",10 50 271 272 296
quora,29,15277,500,learn book read languag start write english prepar improv program,"learn, book, read, languag, start",25 26 119 131 132
