"section","dataset","model","scenario","run_name","feature_group","comparison_phase","status","notes","retrieval_mode","query_batch_size","retrieval_depth","precision_k","recall_k","ndcg_k","loaded_queries","qrels_queries","evaluated_queries","queries_with_positive_qrels","queries_without_positive_qrels","use_query_refinement","use_spelling_correction","misspelled_queries","spelling_corrections_applied","feedback_docs","expansion_terms","bm25_k1","bm25_b","candidate_count","ltr_candidate_models","include_biomedical","ltr_model_path","rrf_k","distributed","num_shards","shard_top_k","biomedical_weight","MAP","Precision@10","Recall","nDCG","EvaluationWallTimeSeconds","AverageQueryTimeMs","QueriesPerSecond","error","MAP@1000","Recall@1000","nDCG@10"
"runtime_comparison","clinical_trials","tfidf","tfidf_runtime","clinical_trials_tfidf_runtime","runtime","","completed","Runtime and throughput comparison.","batch","64","1000","10","1000","10","50","50","50","50","0","False","False","False","","","","1.5","0.75","","","","","","False","","","","0.16118","0.272","0.687131","0.233755","4.161","83.211","12.018","","0.16118","0.687131","0.233755"
"runtime_comparison","clinical_trials","bm25","bm25_runtime","clinical_trials_bm25_runtime","runtime","","completed","Runtime and throughput comparison.","batch","64","1000","10","1000","10","50","50","50","50","0","False","False","False","","","","1.5","0.75","","","","","","False","","","","0.265665","0.44","0.742024","0.41982","4.62","92.407","10.822","","0.265665","0.742024","0.41982"
"runtime_comparison","clinical_trials","embedding","embedding_runtime","clinical_trials_embedding_runtime","runtime","","completed","Runtime and throughput comparison.","batch","64","1000","10","1000","10","50","50","50","50","0","False","False","False","","","","1.5","0.75","","","","","","False","","","","0.020838","0.092","0.190333","0.071522","1.183","23.653","42.278","","0.020838","0.190333","0.071522"
"runtime_comparison","clinical_trials","hybrid_serial","hybrid_serial_runtime","clinical_trials_hybrid_serial_runtime","runtime","","completed","Runtime and throughput comparison.","single_query","","1000","10","1000","10","50","50","50","50","0","False","False","False","","","","1.5","0.75","1000","","","","","False","","","","0.059137","0.11","0.742024","0.07919","15.548","310.967","3.216","","0.059137","0.742024","0.07919"
"runtime_comparison","clinical_trials","hybrid_parallel","hybrid_parallel_runtime","clinical_trials_hybrid_parallel_runtime","runtime","","completed","Runtime and throughput comparison.","batch","64","1000","10","1000","10","50","50","50","50","0","False","False","False","","","","1.5","0.75","1000","","","","60","False","","","0.0","0.192592","0.352","0.690228","0.304596","13.143","262.852","3.804","","0.192592","0.690228","0.304596"
"runtime_comparison","clinical_trials","distributed_bm25","distributed_bm25_runtime","clinical_trials_distributed_bm25_runtime","runtime","","completed","Runtime and throughput comparison.","batch","64","1000","10","1000","10","50","50","50","50","0","False","False","False","","","","1.5","0.75","","","","","60","True","4","10000","","0.251163","0.438","0.740266","0.385522","40.881","817.628","1.223","","0.251163","0.740266","0.385522"
"runtime_comparison","clinical_trials","ltr","ltr_runtime","clinical_trials_ltr_runtime","runtime","","completed","LTR runtime and throughput comparison.","ltr_streaming","64","1000","10","1000","10","50","50","50","50","0","False","False","False","","","","1.5","0.75","1000","bm25 tfidf embedding","False","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\artifacts\models\ltr\clinical_trials_ltr.joblib","","False","","","","0.315044","0.51","0.746267","0.51524","334.815","6696.29","0.149","","0.315044","0.746267","0.51524"
"runtime_comparison","clinical_trials","biomedical_embedding","biomedical_runtime","clinical_trials_biomedical_runtime","runtime","","completed","Biomedical embedding runtime.","batch","64","1000","10","1000","10","50","50","50","50","0","False","False","False","","","","1.5","0.75","","","","","","False","","","","0.106645","0.18","0.524691","0.152601","1.885","37.705","26.521","","0.106645","0.524691","0.152601"
"runtime_comparison","clinical_trials","hybrid_parallel","hybrid_parallel_biomedical_runtime","clinical_trials_hybrid_parallel_biomedical_runtime","runtime","","completed","Hybrid parallel biomedical runtime.","batch","64","1000","10","1000","10","50","50","50","50","0","False","False","False","","","","1.5","0.75","1000","","","","60","False","","","1.0","0.193905","0.348","0.725642","0.303764","15.312","306.241","3.265","","0.193905","0.725642","0.303764"
"runtime_comparison","quora","tfidf","tfidf_runtime","quora_tfidf_runtime","runtime","","completed","Runtime and throughput comparison.","batch","64","1000","10","1000","10","10000","10000","10000","10000","0","False","False","False","","","","1.5","0.75","","","","","","False","","","","0.690399","0.11189","0.989209","0.73133","252.716","25.272","39.57","","0.690399","0.989209","0.73133"
"runtime_comparison","quora","bm25","bm25_runtime","quora_bm25_runtime","runtime","","completed","Runtime and throughput comparison.","batch","64","1000","10","1000","10","10000","10000","10000","10000","0","False","False","False","","","","1.5","0.75","","","","","","False","","","","0.721034","0.11675","0.99146","0.761794","285.638","28.564","35.009","","0.721034","0.99146","0.761794"
"runtime_comparison","quora","embedding","embedding_runtime","quora_embedding_runtime","runtime","","completed","Runtime and throughput comparison.","batch","64","1000","10","1000","10","10000","10000","10000","10000","0","False","False","False","","","","1.5","0.75","","","","","","False","","","","0.794665","0.12819","0.986158","0.831295","27.3","2.73","366.306","","0.794665","0.986158","0.831295"
"runtime_comparison","quora","hybrid_serial","hybrid_serial_runtime","quora_hybrid_serial_runtime","runtime","","completed","Runtime and throughput comparison.","single_query","","1000","10","1000","10","10000","10000","10000","10000","0","False","False","False","","","","1.5","0.75","1000","","","","","False","","","","0.839498","0.13255","0.99146","0.872116","804.619","80.462","12.428","","0.839498","0.99146","0.872116"
"runtime_comparison","quora","hybrid_parallel","hybrid_parallel_runtime","quora_hybrid_parallel_runtime","runtime","","completed","Runtime and throughput comparison.","batch","64","1000","10","1000","10","10000","10000","10000","10000","0","False","False","False","","","","1.5","0.75","1000","","","","60","False","","","0.0","0.775273","0.12433","0.999084","0.813707","843.707","84.371","11.852","","0.775273","0.999084","0.813707"
"runtime_comparison","quora","ltr","ltr_runtime","quora_ltr_runtime","runtime","","completed","LTR runtime and throughput comparison.","ltr_streaming","64","1000","10","1000","10","10000","10000","10000","10000","0","False","False","False","","","","1.5","0.75","1000","bm25 tfidf embedding","False","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\artifacts\models\ltr\quora_ltr.joblib","","False","","","","0.824623","0.13159","0.998037","0.860755","14555.982","1455.598","0.687","","0.824623","0.998037","0.860755"
