"section","dataset","model","scenario","run_name","feature_group","comparison_phase","status","notes","retrieval_mode","query_batch_size","retrieval_depth","precision_k","recall_k","ndcg_k","loaded_queries","qrels_queries","evaluated_queries","queries_with_positive_qrels","queries_without_positive_qrels","use_query_refinement","use_spelling_correction","misspelled_queries","spelling_corrections_applied","feedback_docs","expansion_terms","bm25_k1","bm25_b","candidate_count","ltr_candidate_models","include_biomedical","ltr_model_path","rrf_k","distributed","num_shards","shard_top_k","biomedical_weight","MAP","Precision@10","Recall","nDCG","EvaluationWallTimeSeconds","AverageQueryTimeMs","QueriesPerSecond","error","MAP@1000","Recall@1000","nDCG@10"
"extra_features","clinical_trials","bm25","before_refinement","clinical_trials_bm25_before_refinement","query_refinement","before","completed","BM25 without pseudo relevance feedback.","batch","64","1000","10","1000","10","50","50","50","50","0","False","False","False","","","","1.5","0.75","","","","","","False","","","","0.265665","0.44","0.742024","0.41982","4.62","92.407","10.822","","0.265665","0.742024","0.41982"
"extra_features","clinical_trials","bm25","after_refinement","clinical_trials_bm25_after_prf_refinement","query_refinement","after","completed","BM25 with pseudo relevance feedback query refinement.","batch","64","1000","10","1000","10","50","50","50","50","0","True","False","False","","3","5","1.5","0.75","","","","","","False","","","","0.226592","0.4","0.727277","0.390925","22.917","458.337","2.182","","0.226592","0.727277","0.390925"
"extra_features","clinical_trials","bm25","central_bm25","clinical_trials_central_bm25","distributed_bm25","before","completed","Central BM25 baseline for distributed comparison.","batch","64","1000","10","1000","10","50","50","50","50","0","False","False","False","","","","1.5","0.75","","","","","","False","","","","0.265665","0.44","0.742024","0.41982","4.62","92.407","10.822","","0.265665","0.742024","0.41982"
"extra_features","clinical_trials","distributed_bm25","distributed_bm25","clinical_trials_distributed_bm25","distributed_bm25","after","completed","Distributed BM25 with shard-level retrieval and RRF.","batch","64","1000","10","1000","10","50","50","50","50","0","False","False","False","","","","1.5","0.75","","","","","60","True","4","10000","","0.251163","0.438","0.740266","0.385522","40.881","817.628","1.223","","0.251163","0.740266","0.385522"
"extra_features","clinical_trials","bm25","clinical_bm25_baseline","clinical_trials_bm25_for_biomedical","biomedical_retrieval","before","completed","Clinical Trials BM25 baseline for biomedical features.","batch","64","1000","10","1000","10","50","50","50","50","0","False","False","False","","","","1.5","0.75","","","","","","False","","","","0.265665","0.44","0.742024","0.41982","4.62","92.407","10.822","","0.265665","0.742024","0.41982"
"extra_features","clinical_trials","biomedical_embedding","biomedical_embedding","clinical_trials_biomedical_embedding","biomedical_retrieval","after","completed","Domain-specific biomedical embedding retrieval.","batch","64","1000","10","1000","10","50","50","50","50","0","False","False","False","","","","1.5","0.75","","","","","","False","","","","0.106645","0.18","0.524691","0.152601","1.885","37.705","26.521","","0.106645","0.524691","0.152601"
"extra_features","clinical_trials","hybrid_parallel","hybrid_parallel_biomedical","clinical_trials_hybrid_parallel_biomedical","biomedical_retrieval","after","completed","Hybrid parallel retrieval with biomedical weight enabled.","batch","64","1000","10","1000","10","50","50","50","50","0","False","False","False","","","","1.5","0.75","1000","","","","60","False","","","1.0","0.193905","0.348","0.725642","0.303764","15.312","306.241","3.265","","0.193905","0.725642","0.303764"
"extra_features","clinical_trials","ltr","ltr_biomedical_features","clinical_trials_ltr_biomedical_features","biomedical_retrieval","after","completed","LTR with biomedical retrieval features when available.","ltr_streaming","64","1000","10","1000","10","50","50","50","50","0","False","False","False","","","","1.5","0.75","1000","bm25 tfidf embedding biomedical","True","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\artifacts\models\ltr\clinical_trials_ltr.joblib","","False","","","","0.352012","0.55","0.785058","0.570328","477.869","9557.386","0.105","","0.352012","0.785058","0.570328"
"extra_features","clinical_trials","bm25","best_non_ltr_baseline","clinical_trials_bm25_best_non_ltr_baseline","learning_to_rank","before","completed","Best measured non-LTR baseline selected by MAP from the final baseline representation comparison.","batch","64","1000","10","1000","10","50","50","50","50","0","False","False","False","","","","1.5","0.75","","","","","","False","","","","0.265665","0.44","0.742024","0.41982","4.62","92.407","10.822","","0.265665","0.742024","0.41982"
"extra_features","clinical_trials","ltr","learning_to_rank","clinical_trials_ltr","learning_to_rank","after","completed","LTR reranking with trained model artifacts.","ltr_streaming","64","1000","10","1000","10","50","50","50","50","0","False","False","False","","","","1.5","0.75","1000","bm25 tfidf embedding","False","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\artifacts\models\ltr\clinical_trials_ltr.joblib","","False","","","","0.315044","0.51","0.746267","0.51524","334.815","6696.29","0.149","","0.315044","0.746267","0.51524"
"extra_features","clinical_trials","bm25","clean_queries","clinical_trials_bm25_clean_queries","spelling_correction","before","completed","Original clean evaluation queries.","batch","64","1000","10","1000","10","50","50","50","50","0","False","False","False","","","","1.5","0.75","","","","","","False","","","","0.265665","0.44","0.742024","0.41982","4.62","92.407","10.822","","0.265665","0.742024","0.41982"
"extra_features","clinical_trials","bm25","misspelled_without_correction","clinical_trials_bm25_misspelled_no_correction","spelling_correction","before","completed","Deterministically misspelled queries without correction.","batch","64","1000","10","1000","10","50","50","50","50","0","False","False","True","0","","","1.5","0.75","","","","","","False","","","","0.170852","0.254","0.559911","0.217386","2.725","54.498","18.349","","0.170852","0.559911","0.217386"
"extra_features","clinical_trials","bm25","misspelled_with_correction","clinical_trials_bm25_misspelled_with_correction","spelling_correction","after","completed","Misspelled queries corrected by the offline service.","batch","64","1000","10","1000","10","50","50","50","50","0","False","True","True","82","","","1.5","0.75","","","","","","False","","","","0.263142","0.438","0.734653","0.416707","5.848","116.958","8.55","","0.263142","0.734653","0.416707"
"extra_features","quora","bm25","before_refinement","quora_bm25_before_refinement","query_refinement","before","completed","BM25 without pseudo relevance feedback.","batch","64","1000","10","1000","10","10000","10000","10000","10000","0","False","False","False","","","","1.5","0.75","","","","","","False","","","","0.721034","0.11675","0.99146","0.761794","285.638","28.564","35.009","","0.721034","0.99146","0.761794"
"extra_features","quora","bm25","after_refinement","quora_bm25_after_prf_refinement","query_refinement","after","completed","BM25 with pseudo relevance feedback query refinement.","batch","64","1000","10","1000","10","10000","10000","10000","10000","0","True","False","False","","3","5","1.5","0.75","","","","","","False","","","","0.533091","0.10932","0.989027","0.604169","477.829","47.783","20.928","","0.533091","0.989027","0.604169"
"extra_features","quora","bm25","central_bm25","quora_central_bm25","distributed_bm25","before","completed","Central BM25 baseline for distributed comparison.","batch","64","1000","10","1000","10","10000","10000","10000","10000","0","False","False","False","","","","1.5","0.75","","","","","","False","","","","0.721034","0.11675","0.99146","0.761794","285.638","28.564","35.009","","0.721034","0.99146","0.761794"
"extra_features","quora","hybrid_serial","best_non_ltr_baseline","quora_hybrid_serial_best_non_ltr_baseline","learning_to_rank","before","completed","Best measured non-LTR baseline selected by MAP from the final baseline representation comparison.","single_query","","1000","10","1000","10","10000","10000","10000","10000","0","False","False","False","","","","1.5","0.75","1000","","","","","False","","","","0.839498","0.13255","0.99146","0.872116","804.619","80.462","12.428","","0.839498","0.99146","0.872116"
"extra_features","quora","ltr","learning_to_rank","quora_ltr","learning_to_rank","after","completed","LTR reranking with trained model artifacts.","ltr_streaming","64","1000","10","1000","10","10000","10000","10000","10000","0","False","False","False","","","","1.5","0.75","1000","bm25 tfidf embedding","False","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\artifacts\models\ltr\quora_ltr.joblib","","False","","","","0.824623","0.13159","0.998037","0.860755","14555.982","1455.598","0.687","","0.824623","0.998037","0.860755"
"extra_features","quora","bm25","clean_queries","quora_bm25_clean_queries","spelling_correction","before","completed","Original clean evaluation queries.","batch","64","1000","10","1000","10","10000","10000","10000","10000","0","False","False","False","","","","1.5","0.75","","","","","","False","","","","0.721034","0.11675","0.99146","0.761794","285.638","28.564","35.009","","0.721034","0.99146","0.761794"
"extra_features","quora","bm25","misspelled_without_correction","quora_bm25_misspelled_no_correction","spelling_correction","before","completed","Deterministically misspelled queries without correction.","batch","64","1000","10","1000","10","10000","10000","10000","10000","0","False","False","True","0","","","1.5","0.75","","","","","","False","","","","0.340673","0.06174","0.817234","0.369985","254.161","25.416","39.345","","0.340673","0.817234","0.369985"
"extra_features","quora","bm25","misspelled_with_correction","quora_bm25_misspelled_with_correction","spelling_correction","after","completed","Misspelled queries corrected by the offline service.","batch","64","1000","10","1000","10","10000","10000","10000","10000","0","False","True","True","13138","","","1.5","0.75","","","","","","False","","","","0.562342","0.09609","0.939463","0.601601","285.411","28.541","35.037","","0.562342","0.939463","0.601601"
