"dataset","method","topic_id","topic_size","frequency","top_terms","topic_diversity","topic_coherence","example_doc_ids","number_of_topics","source_artifact","notes"
"clinical_trials","topic_detection","0","7663","7663","renal kidney blood chronic function informed failure serum dialysis acute","1.0","","NCT00530595 NCT00530114 NCT00530296 NCT00541853 NCT00541814","20","artifacts/topics/clinical_trials/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"clinical_trials","topic_detection","1","15103","15103","program randomized research purpose time english test improve diagnosis determine","1.0","","NCT00530985 NCT00530153 NCT00573482 NCT00573612 NCT00533052","20","artifacts/topics/clinical_trials/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"clinical_trials","topic_detection","2","20784","20784","active informed severe chronic purpose test oral pregnant pregnancy infection","1.0","","NCT00530127 NCT00530790 NCT00530270 NCT00530387 NCT00530530","20","artifacts/topics/clinical_trials/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"clinical_trials","topic_detection","3","16758","16758","screening blood investigator informed test medication period body potential healthy","1.0","","NCT00530166 NCT00530452 NCT00541931 NCT00541996 NCT00541684","20","artifacts/topics/clinical_trials/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"clinical_trials","topic_detection","4","9335","9335","pain purpose surgery chronic determine effect time informed severe function","1.0","","NCT00530517 NCT00530543 NCT00530933 NCT00541827 NCT00573209","20","artifacts/topics/clinical_trials/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"clinical_trials","topic_detection","5","9335","9335","brain disorder diagnosis cognitive psychiatric informed neurological disorders effects test","1.0","","NCT00530647 NCT00530257 NCT00530478 NCT00541736 NCT00541177","20","artifacts/topics/clinical_trials/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"clinical_trials","topic_detection","6","16263","16263","chemotherapy cancer performance active informed cell pregnant ecog function infection","1.0","","NCT00530855 NCT00530348 NCT00530699 NCT00530816 NCT00541866","20","artifacts/topics/clinical_trials/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"clinical_trials","topic_detection","7","16211","16211","chemotherapy cancer performance cell tumor treated pregnant drugs combination active","1.0","","NCT00530868 NCT00530621 NCT00530907 NCT00530634 NCT00541099","20","artifacts/topics/clinical_trials/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"clinical_trials","topic_detection","8","10764","10764","disorder diagnosis medication informed symptoms medications abuse purpose pregnant disorders","1.0","","NCT00530335 NCT00530556 NCT00530764 NCT00530413 NCT00530829","20","artifacts/topics/clinical_trials/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"clinical_trials","topic_detection","9","13339","13339","surgery informed surgical purpose time performed pregnancy determine eye standard","1.0","","NCT00530322 NCT00530231 NCT00530049 NCT00530894 NCT00530725","20","artifacts/topics/clinical_trials/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"clinical_trials","topic_detection","10","9803","9803","blood informed purpose risk diagnosis heart determine test time severe","1.0","","NCT00530608 NCT00541060 NCT00541619 NCT00573846 NCT00573235","20","artifacts/topics/clinical_trials/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"clinical_trials","topic_detection","11","10743","10743","surgery pain informed undergoing surgical randomized purpose postoperative anesthesia time","1.0","","NCT00530036 NCT00530491 NCT00530400 NCT00530998 NCT00541151","20","artifacts/topics/clinical_trials/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"clinical_trials","topic_detection","12","12195","12195","cancer purpose informed tumor surgery diagnosis determine radiation time chemotherapy","1.0","","NCT00530179 NCT00530010 NCT00530205 NCT00530192 NCT00530569","20","artifacts/topics/clinical_trials/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"clinical_trials","topic_detection","13","9445","9445","pulmonary respiratory chronic lung asthma severe airway test informed diagnosis","1.0","","NCT00530842 NCT00530062 NCT00541190 NCT00541255 NCT00541918","20","artifacts/topics/clinical_trials/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"clinical_trials","topic_detection","14","7472","7472","cell cells blood transplantation stem transplant infection marrow bone informed","1.0","","NCT00530075 NCT00530218 NCT00530686 NCT00573391 NCT00533572","20","artifacts/topics/clinical_trials/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"clinical_trials","topic_detection","15","12184","12184","infection informed vaccine hiv chronic blood test time vaccination pregnancy","1.0","","NCT00530972 NCT00530777 NCT00530660 NCT00530140 NCT00541970","20","artifacts/topics/clinical_trials/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"clinical_trials","topic_detection","16","9589","9589","surgery informed pain purpose bone randomized knee total time infection","1.0","","NCT00530712 NCT00530803 NCT00541320 NCT00541580 NCT00541658","20","artifacts/topics/clinical_trials/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"clinical_trials","topic_detection","17","14339","14339","diabetes type blood insulin glucose body mellitus effects weight bmi","1.0","","NCT00530881 NCT00530738 NCT00530309 NCT00530023 NCT00541775","20","artifacts/topics/clinical_trials/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
