section,dataset,model,scenario,run_name,feature_group,comparison_phase,status,warning,notes,retrieval_mode,query_batch_size,retrieval_depth,precision_k,recall_k,ndcg_k,loaded_queries,qrels_queries,evaluated_queries,queries_with_positive_qrels,queries_without_positive_qrels,use_query_refinement,use_spelling_correction,misspelled_queries,spelling_corrections_applied,feedback_docs,expansion_terms,bm25_k1,bm25_b,candidate_count,ltr_candidate_models,include_biomedical,ltr_model_path,rrf_k,distributed,num_shards,shard_top_k,biomedical_weight,MAP,Precision@10,Recall,nDCG,EvaluationWallTimeSeconds,AverageQueryTimeMs,QueriesPerSecond,error,MAP@1000,Recall@1000,nDCG@10
before_after_features,clinical_trials,bm25,before_refinement,clinical_trials_bm25_before_refinement,query_refinement,before,completed,,BM25 without pseudo relevance feedback.,batch,64,1000,10,1000,10,50,50,50,50,0,False,False,False,,,,1.5,0.75,,,,,,False,,,,0.265665,0.44,0.742024,0.41982,4.994,99.886,10.011,,0.265665,0.742024,0.41982
before_after_features,clinical_trials,bm25,after_refinement,clinical_trials_bm25_after_prf_refinement,query_refinement,after,completed,,BM25 with pseudo relevance feedback query refinement.,batch,64,1000,10,1000,10,50,50,50,50,0,True,False,False,,3,5,1.5,0.75,,,,,,False,,,,0.228356,0.4,0.728405,0.385008,25.099,501.98,1.992,,0.228356,0.728405,0.385008
before_after_features,clinical_trials,bm25,central_bm25,clinical_trials_central_bm25,distributed_bm25,before,completed,,Central BM25 baseline for distributed comparison.,batch,64,1000,10,1000,10,50,50,50,50,0,False,False,False,,,,1.5,0.75,,,,,,False,,,,0.265665,0.44,0.742024,0.41982,4.994,99.886,10.011,,0.265665,0.742024,0.41982
before_after_features,clinical_trials,distributed_bm25,distributed_bm25,clinical_trials_distributed_bm25,distributed_bm25,after,completed,,Distributed BM25 with shard-level retrieval and RRF.,batch,64,1000,10,1000,10,50,50,50,50,0,False,False,False,,,,1.5,0.75,,,,,60,True,4,10000,,0.251163,0.438,0.740266,0.385522,34.387,687.746,1.454,,0.251163,0.740266,0.385522
before_after_features,clinical_trials,bm25,clinical_bm25_baseline,clinical_trials_bm25_for_biomedical,biomedical_retrieval,before,completed,,Clinical Trials BM25 baseline for biomedical features.,batch,64,1000,10,1000,10,50,50,50,50,0,False,False,False,,,,1.5,0.75,,,,,,False,,,,0.265665,0.44,0.742024,0.41982,4.994,99.886,10.011,,0.265665,0.742024,0.41982
before_after_features,clinical_trials,biomedical_embedding,biomedical_embedding,clinical_trials_biomedical_embedding,biomedical_retrieval,after,completed,,Domain-specific biomedical embedding retrieval.,batch,64,1000,10,1000,10,50,50,50,50,0,False,False,False,,,,1.5,0.75,,,,,,False,,,,0.106645,0.18,0.524691,0.152601,1.8,36.008,27.771,,0.106645,0.524691,0.152601
before_after_features,clinical_trials,hybrid_parallel,hybrid_parallel_biomedical,clinical_trials_hybrid_parallel_biomedical,biomedical_retrieval,after,completed,,Hybrid parallel retrieval with biomedical weight enabled.,batch,64,1000,10,1000,10,50,50,50,50,0,False,False,False,,,,1.5,0.75,1000,,,,60,False,,,1.0,0.193905,0.348,0.725642,0.303764,15.957,319.133,3.133,,0.193905,0.725642,0.303764
before_after_features,clinical_trials,ltr,ltr_biomedical_features,clinical_trials_ltr_biomedical_features,biomedical_retrieval,after,completed,LTR evaluated on all qrel-backed queries because held-out query IDs were not available in model metadata.,LTR with biomedical retrieval features when available.,ltr_streaming,64,1000,10,1000,10,50,50,50,50,0,False,False,False,,,,1.5,0.75,1000,bm25 tfidf embedding biomedical,True,C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\artifacts\models\ltr\clinical_trials_ltr.joblib,,False,,,,0.352012,0.55,0.785058,0.570328,430.716,8614.317,0.116,,0.352012,0.785058,0.570328
before_after_features,clinical_trials,bm25,best_non_ltr_baseline,clinical_trials_bm25_best_non_ltr_baseline,learning_to_rank,before,completed,,Best measured non-LTR baseline selected by MAP from the final baseline representation comparison.,batch,64,1000,10,1000,10,50,50,50,50,0,False,False,False,,,,1.5,0.75,,,,,,False,,,,0.265665,0.44,0.742024,0.41982,4.994,99.886,10.011,,0.265665,0.742024,0.41982
before_after_features,clinical_trials,ltr,learning_to_rank,clinical_trials_ltr,learning_to_rank,after,completed,LTR evaluated on all qrel-backed queries because held-out query IDs were not available in model metadata.,LTR reranking with trained model artifacts.,ltr_streaming,64,1000,10,1000,10,50,50,50,50,0,False,False,False,,,,1.5,0.75,1000,bm25 tfidf embedding,False,C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\artifacts\models\ltr\clinical_trials_ltr.joblib,,False,,,,0.315044,0.51,0.746267,0.51524,331.603,6632.065,0.151,,0.315044,0.746267,0.51524
