"dataset","model_used","embedding_model","number_of_clusters","silhouette_score","davies_bouldin_score","calinski_harabasz_score","cluster_id","cluster_size","cluster_percentage","top_terms","example_doc_ids","source_artifact","notes"
"clinical_trials","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding","20","","","","0","7663","3.1796","renal kidney blood chronic function informed failure serum dialysis acute","NCT00530595 NCT00530114 NCT00530296 NCT00541853 NCT00541814","artifacts/clustering/clinical_trials/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"clinical_trials","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding","20","","","","1","15103","6.2666","program randomized research purpose time english test improve diagnosis determine","NCT00530985 NCT00530153 NCT00573482 NCT00573612 NCT00533052","artifacts/clustering/clinical_trials/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"clinical_trials","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding","20","","","","2","20784","8.6239","active informed severe chronic purpose test oral pregnant pregnancy infection","NCT00530127 NCT00530790 NCT00530270 NCT00530387 NCT00530530","artifacts/clustering/clinical_trials/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"clinical_trials","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding","20","","","","3","16758","6.9534","screening blood investigator informed test medication period body potential healthy","NCT00530166 NCT00530452 NCT00541931 NCT00541996 NCT00541684","artifacts/clustering/clinical_trials/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"clinical_trials","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding","20","","","","4","9335","3.8733","pain purpose surgery chronic determine effect time informed severe function","NCT00530517 NCT00530543 NCT00530933 NCT00541827 NCT00573209","artifacts/clustering/clinical_trials/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"clinical_trials","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding","20","","","","5","9335","3.8733","brain disorder diagnosis cognitive psychiatric informed neurological disorders effects test","NCT00530647 NCT00530257 NCT00530478 NCT00541736 NCT00541177","artifacts/clustering/clinical_trials/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"clinical_trials","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding","20","","","","6","16263","6.748","chemotherapy cancer performance active informed cell pregnant ecog function infection","NCT00530855 NCT00530348 NCT00530699 NCT00530816 NCT00541866","artifacts/clustering/clinical_trials/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"clinical_trials","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding","20","","","","7","16211","6.7264","chemotherapy cancer performance cell tumor treated pregnant drugs combination active","NCT00530868 NCT00530621 NCT00530907 NCT00530634 NCT00541099","artifacts/clustering/clinical_trials/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"clinical_trials","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding","20","","","","8","10764","4.4663","disorder diagnosis medication informed symptoms medications abuse purpose pregnant disorders","NCT00530335 NCT00530556 NCT00530764 NCT00530413 NCT00530829","artifacts/clustering/clinical_trials/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"clinical_trials","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding","20","","","","9","13339","5.5347","surgery informed surgical purpose time performed pregnancy determine eye standard","NCT00530322 NCT00530231 NCT00530049 NCT00530894 NCT00530725","artifacts/clustering/clinical_trials/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
