dataset,cluster_id,document_count,sample_document_count,top_terms,topic_label,representative_doc_ids
clinical_trials,0,7663,500,renal kidney blood chronic function informed failure serum dialysis acute,"renal, kidney, blood, chronic, function",NCT00530595 NCT00530114 NCT00530296 NCT00541853 NCT00541814
clinical_trials,1,15103,500,program randomized research purpose time english test improve diagnosis determine,"program, randomized, research, purpose, time",NCT00530985 NCT00530153 NCT00573482 NCT00573612 NCT00533052
clinical_trials,2,20784,500,active informed severe chronic purpose test oral pregnant pregnancy infection,"active, informed, severe, chronic, purpose",NCT00530127 NCT00530790 NCT00530270 NCT00530387 NCT00530530
clinical_trials,3,16758,500,screening blood investigator informed test medication period body potential healthy,"screening, blood, investigator, informed, test",NCT00530166 NCT00530452 NCT00541931 NCT00541996 NCT00541684
clinical_trials,4,9335,500,pain purpose surgery chronic determine effect time informed severe function,"pain, purpose, surgery, chronic, determine",NCT00530517 NCT00530543 NCT00530933 NCT00541827 NCT00573209
clinical_trials,5,9335,500,brain disorder diagnosis cognitive psychiatric informed neurological disorders effects test,"brain, disorder, diagnosis, cognitive, psychiatric",NCT00530647 NCT00530257 NCT00530478 NCT00541736 NCT00541177
clinical_trials,6,16263,500,chemotherapy cancer performance active informed cell pregnant ecog function infection,"chemotherapy, cancer, performance, active, informed",NCT00530855 NCT00530348 NCT00530699 NCT00530816 NCT00541866
clinical_trials,7,16211,500,chemotherapy cancer performance cell tumor treated pregnant drugs combination active,"chemotherapy, cancer, performance, cell, tumor",NCT00530868 NCT00530621 NCT00530907 NCT00530634 NCT00541099
clinical_trials,8,10764,500,disorder diagnosis medication informed symptoms medications abuse purpose pregnant disorders,"disorder, diagnosis, medication, informed, symptoms",NCT00530335 NCT00530556 NCT00530764 NCT00530413 NCT00530829
clinical_trials,9,13339,500,surgery informed surgical purpose time performed pregnancy determine eye standard,"surgery, informed, surgical, purpose, time",NCT00530322 NCT00530231 NCT00530049 NCT00530894 NCT00530725
clinical_trials,10,9803,500,blood informed purpose risk diagnosis heart determine test time severe,"blood, informed, purpose, risk, diagnosis",NCT00530608 NCT00541060 NCT00541619 NCT00573846 NCT00573235
clinical_trials,11,10743,500,surgery pain informed undergoing surgical randomized purpose postoperative anesthesia time,"surgery, pain, informed, undergoing, surgical",NCT00530036 NCT00530491 NCT00530400 NCT00530998 NCT00541151
clinical_trials,12,12195,500,cancer purpose informed tumor surgery diagnosis determine radiation time chemotherapy,"cancer, purpose, informed, tumor, surgery",NCT00530179 NCT00530010 NCT00530205 NCT00530192 NCT00530569
clinical_trials,13,9445,500,pulmonary respiratory chronic lung asthma severe airway test informed diagnosis,"pulmonary, respiratory, chronic, lung, asthma",NCT00530842 NCT00530062 NCT00541190 NCT00541255 NCT00541918
clinical_trials,14,7472,500,cell cells blood transplantation stem transplant infection marrow bone informed,"cell, cells, blood, transplantation, stem",NCT00530075 NCT00530218 NCT00530686 NCT00573391 NCT00533572
clinical_trials,15,12184,500,infection informed vaccine hiv chronic blood test time vaccination pregnancy,"infection, informed, vaccine, hiv, chronic",NCT00530972 NCT00530777 NCT00530660 NCT00530140 NCT00541970
clinical_trials,16,9589,500,surgery informed pain purpose bone randomized knee total time infection,"surgery, informed, pain, purpose, bone",NCT00530712 NCT00530803 NCT00541320 NCT00541580 NCT00541658
clinical_trials,17,14339,500,diabetes type blood insulin glucose body mellitus effects weight bmi,"diabetes, type, blood, insulin, glucose",NCT00530881 NCT00530738 NCT00530309 NCT00530023 NCT00541775
clinical_trials,18,11412,500,heart cardiac coronary failure informed myocardial blood artery ventricular acute,"heart, cardiac, coronary, failure, informed",NCT00530101 NCT00530426 NCT00530361 NCT00530946 NCT00541541
clinical_trials,19,8269,500,women pregnancy birth informed risk randomized time pregnant determine blood,"women, pregnancy, birth, informed, risk",NCT00530439 NCT00530374 NCT00530244 NCT00541645 NCT00541892
